Country Name,Legislation and sources,度量名称,度量值,纬度(生成),经度(生成)
Zimbabwe,"No child can be held criminally responsible for an offence allegedly committed while younger than seven years of age. A child older than seven but younger than 14 can only be held criminally responsible where it is proved that he or she has the capacity to form the intention necessary to commit an offence or, where negligence is an element of the relevant offence, where he or she has the capacity to behave in the way that a reasonable adult would have behave in the circumstance [Criminal Code, Sections 6 and 7]. Males under the age of 12 are presumed to be incapable of sexual intercourse, though this is a rebuttable presumption and a younger boy can be prosecuted for sexual offences related to sexual intercourse where it can be demonstrated that he was capable of performing the act on the balance of probabilities [Criminal Code, Sections 63].",记录数,1,-19.098,30.047
Zimbabwe,"No child can be held criminally responsible for an offence allegedly committed while younger than seven years of age. A child older than seven but younger than 14 can only be held criminally responsible where it is proved that he or she has the capacity to form the intention necessary to commit an offence or, where negligence is an element of the relevant offence, where he or she has the capacity to behave in the way that a reasonable adult would have behave in the circumstance [Criminal Code, Sections 6 and 7]. Males under the age of 12 are presumed to be incapable of sexual intercourse, though this is a rebuttable presumption and a younger boy can be prosecuted for sexual offences related to sexual intercourse where it can be demonstrated that he was capable of performing the act on the balance of probabilities [Criminal Code, Sections 63].",Minimum age of criminal responsibility,7,-19.098,30.047
Zambia,"No person under the age of eight is criminally responsible for any act or omission. A child older than eight but younger than 12 is not criminally responsible for an offence unless it is proved that “at the time of doing the act or making the omission [he or she] had the capacity to do the act or make the omission”. A male person under the age of 12 is presumed incapable of having carnal knowledge, a provision that prevents the prosecution of younger boys for certain sexual offences. [Penal Code, Section 14]",记录数,1,-15.13,25.268
Zambia,"No person under the age of eight is criminally responsible for any act or omission. A child older than eight but younger than 12 is not criminally responsible for an offence unless it is proved that “at the time of doing the act or making the omission [he or she] had the capacity to do the act or make the omission”. A male person under the age of 12 is presumed incapable of having carnal knowledge, a provision that prevents the prosecution of younger boys for certain sexual offences. [Penal Code, Section 14]",Minimum age of criminal responsibility,8,-15.13,25.268
Yemen,"No one can be held criminally responsible for an act committed while under the age of seven.1 [Republican Decree, Law No. 12 of 1994 concerning crimes and penalties, Section 31]",记录数,1,15.569,47.793
Yemen,"No one can be held criminally responsible for an act committed while under the age of seven.1 [Republican Decree, Law No. 12 of 1994 concerning crimes and penalties, Section 31]",Minimum age of criminal responsibility,7,15.569,47.793
Viet Nam,"A child aged 14 or older can be held criminally responsible for “very serious crimes intentionally committed or particularly serious crimes”. A child aged 16 or older can be held criminally responsible for any offence.

Children aged 14 to 18 are classified as “juvenile offenders” if they are convicted of a criminal offence. [Criminal Code, Articles 12 and 68]",记录数,1,21.75,105.373
Viet Nam,"A child aged 14 or older can be held criminally responsible for “very serious crimes intentionally committed or particularly serious crimes”. A child aged 16 or older can be held criminally responsible for any offence.

Children aged 14 to 18 are classified as “juvenile offenders” if they are convicted of a criminal offence. [Criminal Code, Articles 12 and 68]",Minimum age of criminal responsibility,14,21.75,105.373
Venezuela,"People can be subject to penalties including deprivation of liberty from the age of 12. [Ley Orgánica para la proteccion de niños, niñas y adolescentes, Article 528]",记录数,1,6.983,-64.588
Venezuela,"People can be subject to penalties including deprivation of liberty from the age of 12. [Ley Orgánica para la proteccion de niños, niñas y adolescentes, Article 528]",Minimum age of criminal responsibility,12,6.983,-64.588
Vanuatu,"No person can be held criminally responsible for an offence allegedly committed while under the age of 10. A child older than 10 but younger than 14 is presumed incapable of committing a criminal offence unless “[he or she] was able to distinguish between right and wrong and .. did so with respect to the offence with which [he or she] is charged.” A male person under the age of 12 is considered incapable of having sexual intercourse, a provision which prevents the prosecution of younger boys for certain sexual offences. [Penal Code, Sections 14(3) and 17(1)]",记录数,1,-15.339,166.89
Vanuatu,"No person can be held criminally responsible for an offence allegedly committed while under the age of 10. A child older than 10 but younger than 14 is presumed incapable of committing a criminal offence unless “[he or she] was able to distinguish between right and wrong and .. did so with respect to the offence with which [he or she] is charged.” A male person under the age of 12 is considered incapable of having sexual intercourse, a provision which prevents the prosecution of younger boys for certain sexual offences. [Penal Code, Sections 14(3) and 17(1)]",Minimum age of criminal responsibility,10,-15.339,166.89
Uzbekistan,"Persons can be held criminally responsible for all offences committed after they have reached the age of 16, and for intentional killing from the age of 13, and for other specifically named offences from the age of 14. [Criminal Code, Article 17]",记录数,1,41.757,63.958
Uzbekistan,"Persons can be held criminally responsible for all offences committed after they have reached the age of 16, and for intentional killing from the age of 13, and for other specifically named offences from the age of 14. [Criminal Code, Article 17]",Minimum age of criminal responsibility,13,41.757,63.958
Uruguay,"No one under the age of 18 can be held criminally responsible under the definition adopted by Uruguayan legislation, though children can be subjected to socio-educative measures from the age of 13, including institutionalisation. [Childhood and Adolescence Code]",记录数,1,-32.948,-56.249
Uruguay,"No one under the age of 18 can be held criminally responsible under the definition adopted by Uruguayan legislation, though children can be subjected to socio-educative measures from the age of 13, including institutionalisation. [Childhood and Adolescence Code]",Minimum age of criminal responsibility,13,-32.948,-56.249
United States,"The minimum age of criminal liability is set at the federal and state level in the United States. At the state level, 33 states set no minimum age of criminal responsibility, theoretically allowing a child to be sentenced to criminal penalties at any age [Cipriani,D. Children's Rights and the Minimum Age of Criminal Responsibility: A Global Perspective, Ashgate 2009, p. 221 and 222], though in most of these states a capacity related test is applied.

Of the States that do set a minimum age of criminal responsibility, North Carolina has the lowest at seven years, while Wisconsin has the highest at ten years. [For full references of state laws see Cipriani D., Children's rights and the minimum age of criminal responsibility: A global perspective, Ashgate 2009, p. 219 and 220]",记录数,1,40.0792,-98.8164
United States,"The minimum age of criminal liability is set at the federal and state level in the United States. At the state level, 33 states set no minimum age of criminal responsibility, theoretically allowing a child to be sentenced to criminal penalties at any age [Cipriani,D. Children's Rights and the Minimum Age of Criminal Responsibility: A Global Perspective, Ashgate 2009, p. 221 and 222], though in most of these states a capacity related test is applied.

Of the States that do set a minimum age of criminal responsibility, North Carolina has the lowest at seven years, while Wisconsin has the highest at ten years. [For full references of state laws see Cipriani D., Children's rights and the minimum age of criminal responsibility: A global perspective, Ashgate 2009, p. 219 and 220]",Minimum age of criminal responsibility,0,40.0792,-98.8164
United Kingdom," England and Wales.

Children can be held liable for criminal offences from the age of 10. [Children and Young Persons Act 1933, Section 50]
Northern Ireland.

No child under the age of 10 can be found guilty of a criminal offence. [Criminal Justice (Children) (Northern Ireland) Order 1998, Article 3]
Scotland.

No child under the age of eight can be found guilty of any criminal offence, but no person under the age of 12 may be prosecuted for an offence and a person aged 12 or older may not be prosecuted for an offence committed while under the age of 12.[Criminal Procedure (Scotland) Act, Sections 41 and 41A(1)-(2)]

The gap between the minimum age of prosecution and the minimum age of criminal liability means that criminal offences committed between the age of 8 and 12 may be included on a child's criminal record, though a prosecution may not take place. As of July 2013, the Scottish Government said it “[would] consider calls for the minimum age of criminal responsibility to increase”. [The Herald Scotland, “Dismay as reform fails to stop criminal records for children” 1 July 2013]",记录数,1,52.289,-1.259
United Kingdom," England and Wales.

Children can be held liable for criminal offences from the age of 10. [Children and Young Persons Act 1933, Section 50]
Northern Ireland.

No child under the age of 10 can be found guilty of a criminal offence. [Criminal Justice (Children) (Northern Ireland) Order 1998, Article 3]
Scotland.

No child under the age of eight can be found guilty of any criminal offence, but no person under the age of 12 may be prosecuted for an offence and a person aged 12 or older may not be prosecuted for an offence committed while under the age of 12.[Criminal Procedure (Scotland) Act, Sections 41 and 41A(1)-(2)]

The gap between the minimum age of prosecution and the minimum age of criminal liability means that criminal offences committed between the age of 8 and 12 may be included on a child's criminal record, though a prosecution may not take place. As of July 2013, the Scottish Government said it “[would] consider calls for the minimum age of criminal responsibility to increase”. [The Herald Scotland, “Dismay as reform fails to stop criminal records for children” 1 July 2013]",Minimum age of criminal responsibility,10,52.289,-1.259
United Arab Emirates,"The minimum age of criminal responsibility under criminal law is seven. Under Shari'a law, children typically become liable for Islamic punishments at the onset of puberty. The Emirates differ as to which tradition of Islamic jurisprudence is considered to be the main source of Shari'a rules, and this is reflected in the variation between the Emirates as to the age at which persons become liable for Islamic punishments. [Juvenile Delinquency and Vagrants Act, Article 7; Penal Code, Article 62; Cipriani, Children's Rights and the Minimum age of Criminal Responsibility: A Global Perspective, 2009; Al-Muahairi, B.S.B.A. (1996), “The Islamisation of Laws in the UAE: The Case of the Penal Code”, Arab Law Quarterly, 11(4), 350-371]",记录数,1,23.9299,53.9031
United Arab Emirates,"The minimum age of criminal responsibility under criminal law is seven. Under Shari'a law, children typically become liable for Islamic punishments at the onset of puberty. The Emirates differ as to which tradition of Islamic jurisprudence is considered to be the main source of Shari'a rules, and this is reflected in the variation between the Emirates as to the age at which persons become liable for Islamic punishments. [Juvenile Delinquency and Vagrants Act, Article 7; Penal Code, Article 62; Cipriani, Children's Rights and the Minimum age of Criminal Responsibility: A Global Perspective, 2009; Al-Muahairi, B.S.B.A. (1996), “The Islamisation of Laws in the UAE: The Case of the Penal Code”, Arab Law Quarterly, 11(4), 350-371]",Minimum age of criminal responsibility,7,23.9299,53.9031
